Date ,RowNum,Num,Rep,RowNumNumRep,Treatment,stem1_length,stem2_length,stem1_leafnum,stem2_leafnum,stem1_percflow,stem2_percflow,stem1_caps,stem2_caps,moist_1,moist_2,moist_3,stem1_bagbuds,stem2_bagbuds,stem1_vFcount,stem2_vFcount,stem1_vFexpec,stem2_vFexpec,notes,,
9/9/2016,13,3,R5,13.3.R5,Chamber 4,185.83,,6,,0,,0,,19.3,18.4,17.4,,,,,,,,,
9/9/2016,18,5,R1,18.5.R1,Chamber 3,147.32,223.19,6,7,0,0,0,0,16.9,17.9,15.7,,,,,,,,,
9/9/2016,19,9,R3,19.9.R3,Chamber 4,86.98,190.57,4,6,0,0,0,0,19.2,16.7,15.6,,,,,,,,,
9/9/2016,20,2,R4,20.2.R4,Chamber 5,31.73,180.64,4,8,0,0,0,0,11.2,11.4,8.7,,,,,,,,,
9/9/2016,38,7,R2,38.7.R2,Chamber 5,51.04,141.12,5,5,0,0,0,0,9.3,10.8,11,,,,,,,,,
9/9/2016,38,7,R3,38.7.R3,Chamber 4,83.24,171.37,5,8,0,0,0,0,10.7,13.7,11.8,,,,,,,,,
9/9/2016,38,7,R4,38.7.R4,Chamber 3,59.1,110.69,4,6,0,0,0,0,14.7,17.5,16.9,,,,,,,,,
9/9/2016,38,7,R5,38.7.R5,Chamber 2,130.05,,5,,0,,0,,13.8,16,16,,,c,,,,,,
9/9/2016,38,7,R6,38.7.R6,Chamber 1,121.08,,5,,0,,0,,10.5,11,12.5,,,,,,,,,
9/12/2016,13,3,R5,13.3.R5,Chamber 4,252.6,,8,,0,,0,,11.9,10.3,10.4,,,,,,,,,
9/12/2016,14,1,R3,14.1.R3,Chamber 1,184.89,,8,,0,,0,,15.1,14.1,16.1,,,,,,,,,
9/12/2016,16,1,R4,16.1.R4,Chamber 4,100.02,,7,,0,,0,,11.1,15,13,,,,,,,,,
9/12/2016,18,5,R1,18.5.R1,Chamber 3,187.64,225.14,8,9,0,0,0,0,10.1,8,10.9,,,,,,,,,
9/12/2016,18,5,R4,18.5.R4,Chamber 3,372.37,,9,,0,,0,,11.2,10.4,10.6,,,,,,,,,
9/12/2016,18,5,R5,18.5.R5,Chamber 3,0,210.14,0,8,0,0,0,0,12.7,14,14,,,,,,,,,
9/12/2016,18,5,R8,18.5.R8,Chamber 1,312.48,,10,,0,,0,,8.7,10.7,9.6,,,,,,,,,
9/12/2016,19,9,R3,19.9.R3,Chamber 4,106.16,239.22,5,7,0,0,0,0,12.6,13.9,14.8,,,,,,,,,
